,Personal Data,,,,Electoral Data,,,,,,,,,,,,,Endorsement Data,,,,,,,,,,,,Misc. Stuff
Candidate,Gender,Race 1,Race 2,Race 3,Incumbent,Incumbent Challenger,State,Primary Date,Office,District,FEC id,Primary Votes,Primary %,Primary Outcome,Runoff Votes,Runoff %,Runoff Outcome,EMILY's List,Justice Dems,Indivisible,WFP,CPC,Sunrise,Sanders,RFFA,AIPAC,DMFI,J Street,Party Committee,Notes
Liz Dahan,Female,hispanic,,,No,No,Florida,8/20/24,Representative,13,,6904,13.48%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Whitney Fox,Female,,,,No,No,Florida,8/20/24,Representative,13,,29678,57.94%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
John William Liccione,Male,white,,,No,No,Florida,8/20/24,Representative,13,,2013,3.93%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Mark Weinkrantz,Male,white (jewish),,,No,No,Florida,8/20/24,Representative,13,,3697,7.22%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kathy Castor,Female,white,,,Yes,No,Florida,8/20/24,Representative,14,H6FL11126,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
"Patricia ""Pat"" Kemp",Female,white,,,No,No,Florida,8/20/24,Representative,15,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Trent Miller,Male,white,,,No,No,Florida,8/20/24,Representative,16,,12395,34.34%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jan Schneider,Female,white,,,No,No,Florida,8/20/24,Representative,16,,23701,65.66%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Manny Lopez,Male,hispanic,,,No,No,Florida,8/20/24,Representative,17,,25017,52.93%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matthew Montavon,Male,white,,,No,No,Florida,8/20/24,Representative,17,,22244,47.07%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Peter A. Braunston,Male,white,,,No,No,Florida,8/20/24,Representative,18,,8291,33.07%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Andrea Doria Kale,Female,white,,,No,No,Florida,8/20/24,Representative,18,,16778,66.93%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Kari L. Lerner,Female,white,,,No,No,Florida,8/20/24,Representative,19,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Sheila Cherfilus-McCormick,Female,black,,,Yes,No,Florida,8/20/24,Representative,20,H8FL20032,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Thomas Wiktop,Male,white,,,No,No,Florida,8/20/24,Representative,21,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lois Frankel,Female,white (jewish),,,Yes,No,Florida,8/20/24,Representative,22,H2FL14053,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Jared Moskowitz,Male,white,,,Yes,No,Florida,8/20/24,Representative,23,H2FL22171,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Frederica Wilson,Female,black,,,Yes,No,Florida,8/20/24,Representative,24,H0FL17068,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
"Jennifer ""Jen"" Perelman",Female,white,,,No,Yes,Florida,8/20/24,Representative,25,,7349,16.77%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,N/A,
Debbie Wasserman Schultz,Female,white,,,Yes,No,Florida,8/20/24,Representative,25,H4FL20023,36479,83.23%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Joey Atkins,Male,unknown...ambigious (italian or hispanic...seemingly not white),,,No,No,Florida,8/20/24,Representative,26,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lucia Baez-Geller,Female,hispanic (columbian and cuban),,,No,No,Florida,8/20/24,Representative,27,,18591,54.16%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,
Mike Davey,Male,white,,,No,No,Florida,8/20/24,Representative,27,,15738,45.84%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Phil Ehr,Male,white,,,No,No,Florida,8/20/24,Representative,28,,1,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Stanley Campbell,Male,black,,,No,No,Florida,8/20/24,Senator,N/A,,213777,19.59%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Rod Joseph,Male,black,,,No,No,Florida,8/20/24,Senator,N/A,,56961,5.22%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Debbie Mucarsel-Powell,Female,white,,,No,No,Florida,8/20/24,Senator,N/A,,747397,68.50%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Brian Rush,Male,white,,,No,No,Florida,8/20/24,Senator,N/A,,73013,6.69%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,
Kyle G. Cameron,Female,white,,,No,No,Wyoming,8/20/24,Representative,1,,10047,98.65%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Scott D. Morrow,Male,white,,,No,No,Wyoming,8/20/24,Senator,N/A,,10088,98.27%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Richard E. Neal,Male,,,,Yes,No,Massachusetts,9/3/24,Representative,1,H8MA02041,56364,99.07%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,
James P. McGovern,Male,,,,Yes,No,Massachusetts,9/3/24,Representative,2,H4MA03022,56343,99.60%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Lori Loureiro Trahan,Female,,,,Yes,No,Massachusetts,9/3/24,Representative,3,H8MA03106,54612,99.35%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Jake Auchincloss,Male,,,,Yes,No,Massachusetts,9/3/24,Representative,4,H0MA04192,64238,98.86%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,N/A,
Katherine M. Clark,Female,,,,Yes,No,Massachusetts,9/3/24,Representative,5,H4MA05084,76806,99.21%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Seth Moulton,Male,,,,Yes,No,Massachusetts,9/3/24,Representative,6,H4MA06090,62986,99.38%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Ayanna S. Pressley,Female,,,,Yes,No,Massachusetts,9/3/24,Representative,7,H8MA07032,57172,98.25%,Won,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,Yes,N/A,N/A,N/A,N/A,
Stephen F. Lynch,Male,,,,Yes,No,Massachusetts,9/3/24,Representative,8,H2MA09072,64761,98.69%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,
Bill Keating,Male,,,,Yes,No,Massachusetts,9/3/24,Representative,9,H0MA10082,71814,99.62%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,Yes,N/A,
Elizabeth Ann Warren,Female,,,,Yes,No,Massachusetts,9/3/24,Senator,N/A,S2MA00170,562709,98.58%,Won,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Earl Cooper,Male,,,,No,No,Delaware,9/10/24,Representative,1,,13557,16.22%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,No,N/A,
Sarah McBride,Female,,,,No,No,Delaware,9/10/24,Representative,1,,66764,79.85%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,Yes,N/A,N/A,Yes,Yes,N/A,Yes,N/A,
Elias Weir,Male,,,,No,No,Delaware,9/10/24,Representative,1,,3286,3.93%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,No,N/A,N/A,No,No,N/A,No,N/A,
Collin O'Mara,Male,,,,No,No,Delaware,9/10/24,Governor,N/A,,14142,16.40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Bethany Hall-Long,Female,,,,No,No,Delaware,9/10/24,Governor,N/A,,31588,36.62%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Matt Meyer,Male,,,,No,No,Delaware,9/10/24,Governor,N/A,,40518,46.98%,Won,N/A,N/A,N/A,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Lisa Blunt Rochester,Female,,,,No,No,Delaware,9/10/24,Senator,N/A,,1,100.00%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,Yes,N/A,N/A,Yes,N/A,
Chris Pappas,Male,,,,Yes,No,New Hampshire,9/10/24,Representative,1,H8NH01210,54950,94.84%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,N/A,
Kevin Rondeau,Male,,,,No,Yes,New Hampshire,9/10/24,Representative,1,,2783,4.80%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,No,N/A,N/A,
Maggie Goodlander,Female,,,,No,No,New Hampshire,9/10/24,Representative,2,,42960,63.82%,Won,N/A,N/A,N/A,Yes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Colin Van Ostern,Male,,,,No,No,New Hampshire,9/10/24,Representative,2,,24190,35.94%,Lost,N/A,N/A,N/A,No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Joyce Craig,Female,,,,No,No,New Hampshire,9/10/24,Governor,N/A,,60104,47.93%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Jon Kiper,Male,,,,No,No,New Hampshire,9/10/24,Governor,N/A,,11789,9.40%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Cinde Warmington,Female,,,,No,No,New Hampshire,9/10/24,Governor,N/A,,52420,41.81%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Gabe Amo,Male,,,,Yes,No,Rhode Island,9/10/24,Representative,1,H4RI01265,26696,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,N/A,
Seth Magaziner,Male,,,,Yes,No,Rhode Island,9/10/24,Representative,2,H2RI02184,25157,100.00%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,Yes,Yes,N/A,
Michael J. Costa,Male,,,,No,Yes,Rhode Island,9/10/24,Senator,N/A,,9572,16.23%,Lost,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,No,No,N/A,No,N/A,
Sheldon Whitehouse,Male,,,,Yes,No,Rhode Island,9/10/24,Senator,N/A,S6RI00221,49401,83.77%,Won,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Yes,Yes,N/A,Yes,N/A,
Mel Manuel,,,,,No,No,Louisiana,11/5/24,Representative,1,,,,,,,,,,,,,,,,,,,,
Troy A. Carter Sr.,,,,,Yes,No,Louisiana,11/5/24,Representative,2,H2LA02149,,,,,,,,,,,,,,,,,,,
Devin Davis,,,,,No,Yes,Louisiana,11/5/24,Representative,2,,,,,,,,,,,,,,,,,,,,
Priscilla Gonzalez,,,,,No,No,Louisiana,11/5/24,Representative,3,,,,,,,,,,,,,,,,,,,,
Sadi Summerlin,,,,,No,No,Louisiana,11/5/24,Representative,3,,,,,,,,,,,,,,,,,,,,
Michael Vallien Jr.,,,,,No,No,Louisiana,11/5/24,Representative,5,,,,,,,,,,,,,,,,,,,,
Quentin Anthony Anderson,,,,,No,No,Louisiana,11/5/24,Representative,6,,,,,,,,,,,,,,,,,,,,
Cleo Fields,,,,,No,No,Louisiana,11/5/24,Representative,6,,,,,,,,,,,,,,,,,,,,
Wilken Jones Jr.,,,,,No,No,Louisiana,11/5/24,Representative,6,,,,,,,,,,,,,,,,,,,,
Peter Williams,,,,,No,No,Louisiana,11/5/24,Representative,6,,,,,,,,,,,,,,,,,,,,
